,My QA learning plan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Task ID,Learning area,Week,Focus,What I want to learn,What I’ll do,Resource,Start date,Target date,Est. hours,Priority,Status,Progress %,My work,Review result,My next step,Last updated,What I learned,Accountability
QA-001,Foundations,1,QA mindset and quality risk,"Understand where QA adds value and how to think about risk, users, and evidence.","Write a short note on what QA protects, then list five risks I think matter most in a typical web product.",https://roadmap.sh/qa,2026-07-27,2026-08-02,4,Must,Learning,35%,,Not reviewed,Read the QA roadmap overview and write down the risks that stand out to me.,,,Late
QA-002,Foundations,1,Test oracles and expected results,Learn how to decide whether a result is correct when the requirements are incomplete.,"Pick one familiar user flow and write ten expected results, including any assumptions I had to make.",https://www.istqb.org/certifications/certified-tester-foundation-level,2026-07-27,2026-08-02,3,Must,Learning,35%,,Not reviewed,Read the ISTQB section on test oracles and list any terms I need to revisit.,,,Late
QA-003,Foundations,2,Test prioritization,Get comfortable deciding what to test first when time is limited.,Rank fifteen test ideas in a simple impact-versus-likelihood table.,https://www.istqb.org/certifications/certified-tester-foundation-level,2026-08-03,2026-08-09,3,Must,Learning,35%,,Not reviewed,,,,Late
QA-004,Foundations,2,"Black-box, gray-box, and white-box testing","Know when black-box, gray-box, or white-box testing is the right choice.","Take twelve sample tests, classify each one, and add a short reason for the choice.",https://roadmap.sh/qa,2026-08-03,2026-08-09,3,Must,Learning,35%,,Not reviewed,,,,Late
QA-005,Foundations,3,Test levels,"See how unit, integration, system, and acceptance testing fit together.",Sketch a test-level map for a basic web request from the UI to the database.,https://www.istqb.org/certifications/certified-tester-foundation-level,2026-08-10,2026-08-16,4,Must,Learning,35%,,Not reviewed,,,,Late
QA-006,Test management,3,Test planning,Learn what belongs in a useful test plan and what can be left out.,Create a one-page test plan for an account permissions feature.,https://www.istqb.org/certifications/certified-tester-foundation-level,2026-08-10,2026-08-16,5,Must,Scheduled,0%,,Not reviewed,,,,Late
QA-007,Test management,4,Test cases and scenarios,Practice turning requirements into test cases that another person can follow.,"Write 10–15 cases for one flow, covering normal, invalid, and boundary inputs.",https://www.istqb.org/certifications/certified-tester-foundation-level,2026-08-17,2026-08-23,5,Must,Scheduled,0%,,Not reviewed,,,,Late
QA-008,Test management,4,Test management tools,"See how common test management tools organize cases, runs, and results.","Compare TestRail, qTest, and Zephyr, then note which one I would try first and why.",https://roadmap.sh/qa,2026-08-17,2026-08-23,3,Should,Scheduled,0%,,Not reviewed,,,,Late
QA-009,Test management,5,Defect reporting and triage,Learn to write bug reports that developers can reproduce without extra explanation.,Write five sample bug reports and review severity versus priority.,https://www.istqb.org/certifications/certified-tester-foundation-level,2026-08-24,2026-08-30,4,Must,Scheduled,0%,,Not reviewed,,,,Due soon
QA-010,SDLC,5,Waterfall and the V-model,Understand how the Waterfall and V-model approaches connect development work to testing.,Trace one requirement through the V-model and note the evidence produced at each stage.,https://roadmap.sh/qa,2026-08-24,2026-08-30,3,Must,Scheduled,0%,,Not reviewed,,,,Due soon
QA-011,SDLC,6,Agile ways of working,See what QA contributes during an Agile sprint and how that changes across team methods.,List the QA work I would do during a two-week sprint.,https://scrumguides.org/scrum-guide.html,2026-08-31,2026-09-06,5,Must,Scheduled,0%,,Not reviewed,,,,Scheduled
QA-012,SDLC,6,Test-driven development,Understand red-green-refactor and how testers can encourage testable work.,Write three acceptance examples before imagining the implementation.,https://roadmap.sh/qa,2026-08-31,2026-09-06,3,Should,Scheduled,0%,,Not reviewed,,,,Scheduled
QA-013,SDLC,7,Verification and validation,Be able to explain the difference between verification and validation.,"Sort twenty example checks into verification, validation, or both.",https://www.istqb.org/certifications/certified-tester-foundation-level,2026-09-07,2026-09-13,3,Must,Scheduled,0%,,Not reviewed,,,,Scheduled
QA-014,Manual testing,7,Functional testing and UAT,Learn how functional testing and UAT answer different questions.,Create a short UAT checklist and sign-off note for one common business flow.,https://www.istqb.org/certifications/certified-tester-foundation-level,2026-09-07,2026-09-13,4,Must,Scheduled,0%,,Not reviewed,,,,Scheduled
QA-015,Manual testing,8,Exploratory testing,Practice exploring a product without following a fixed script.,"Run a 60-minute exploratory session and capture questions, risks, and findings.",https://www.istqb.org/certifications/certified-tester-foundation-level,2026-09-14,2026-09-20,4,Must,Scheduled,0%,,Not reviewed,,,,Scheduled
